236216079,41765610,China
243417350,6532493,Thailand
242961853,551589,Taiwan
238408890,19371989,Singapore
238408890,6473051,Russia
238408890,5355510,Turkey
238408890,15240739,United States of America
238408890,639743,France
238408890,16265013,Czech Republic
236273771,6182649,Singapore
236273771,2487216,Australia
236273771,12670785,Singapore
236273771,11719477,France
236273771,33097498,Malaysia
236273771,20834464,Philippines
236273771,1892674,Singapore
236273771,792361,Australia
236273771,4480258,Malaysia
236273771,19465393,Malaysia
236273771,10849229,Malaysia
236273771,815503,Malaysia
236273771,17744043,Indonesia
236273771,6355495,Singapore
236273771,12845124,Kenya
236273771,24528512,Malaysia
236273771,8052933,Malaysia
236273771,10055534,Malaysia
236273771,4687791,Malaysia
236273771,26767180,Malaysia
236273771,10008835,Egypt
239446868,4146006,Switzerland
240580563,42185463,esk
240580563,51159501,United States of America
240580563,54694820,United States of America
240580563,33237990,United States of America
240580563,56048842,United States of America
240580563,41872587,United States of America
240580563,38420691,United States of America
239716193,26840761,China
235970065,28757366,Australia
235970065,12567059,China
235970065,39112632,Australia
235970065,20009626,China
235970065,43513009,China
241129875,22006284,Japan
243016858,3753809,China 
237575084,9338732,South Korea
237575084,5586218,South Korea
241151891,9963829,Singapore
236146885,2833376,
236146885,53206349,China 
236146885,4110443,United States of America
236146885,2276816,China
236146885,13351449,China
236146885,10195626,China 
243388704,201344,United States of America
210619242,25765137,Magyarorsz
210619242,32218510,France
239852738,22618981,United Kingdom
243886367,106187,United States of America
243886367,1414310,United States of America
243886367,6530818,United States of America
229502804,10398934,Australia
239203095,47597123,France
240298950,32934585,China
240298950,54386692,China
240298950,6963486,China
240298950,60637309,China 
243749518,42611512,Germany
236141583,17958115,China
236141583,4414314,China 
243318477,2521570,United States of America
93610140,2270364,United Kingdom
93610140,904226,Australia
93610140,13594550,United States of America
93610140,157336,Australia
93610140,2616208,United Kingdom
93610140,15778270,Germany
93610140,9945377,Sweden
93610140,1341446,United Kingdom
93610140,4667687,Switzerland
238866320,8894643,China 
237275236,40457149,India
237831860,12000393,Russia
224678136,11867033,Austria
224678136,23037286,Vietnam
243441322,17891453,China
243947796,30709744,Japan
239504996,12381485,China
239504996,35364448,China 
240672192,32721885,Japan
239872722,27361102,Canada
243939724,4892798,Germany
237107693,22074246,Ireland
237107693,40921111,United States of America
237107693,19585119,Ireland
236421368,6435613,China
236421368,12560009,China
236147931,6780420,Hong Kong
243240605,17516391,Portugal
229779480,10476109,France
229779480,16736593,Moldova
229779480,1056081,Moldova
242942332,30277151,South Korea
239968905,3911696,United States of America
191726058,46700921,India
244056078,37997087,United States of America
227158587,50122165,Kenya
21244714,395887,United States of America
21244714,903759,United States of America
21244714,5247904,Brazil
21244714,13025123,Portugal
21244714,2965114,United States of America
21244714,1834051,Spain
21244714,1014449,Nederland
21244714,458825,Ireland
21244714,283394,United States of America
21244714,512293,United States of America
21244714,7493327,Rom
21244714,1096253,Russia
21244714,14089051,United States of America
21244714,310624,Germany
21244714,1865964,United States of America
21244714,14989990,China
21244714,85053,United States of America
21244714,14187172,United States of America
21244714,8755540,United States of America
21244714,46313,United States of America
237548151,59437,China
243618899,172692,United States of America
242312377,5621534,Japan
243469527,53557016,South Korea
235744674,394185,France
236867985,4019168,Polska
238480565,21199796,China
